Background,Type,Location,Location-X,Location-Y,Dot-Width,Dot-Height,Red,Green,Blue
Red,Right Eye,Sky,772,960,20,20,0,0,0
,,,772,668,20,20,0,0,0
,,,772,1252,20,20,0,0,0
,,,480,960,20,20,0,0,0
,,,1064,960,20,20,0,0,0
,,,918,960,20,20,0,0,0
,,,918,1106,20,20,0,0,0
,,,918,814,20,20,0,0,0
,,,626,960,20,20,0,0,0
,,,626,1106,20,20,0,0,0
,,,626,814,20,20,0,0,0
,,,772,814,20,20,0,0,0
,,,772,1106,20,20,0,0,0
,,,772,70,20,20,0,0,0
,,,772,369,20,20,0,0,0
,,,772,1551,20,20,0,0,0
,,,772,1850,20,20,0,0,0
,,,181,960,20,20,0,0,0
,,,480,960,20,20,0,0,0
,,,1363,960,20,20,0,0,0
,,,1662,960,20,20,0,0,0
